sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_options0,list_options_value0,list_options1,list_options_value1,list_options2,list_options_value2,list_options3,list_options_value3,list_options4,list_options_value4,list_options5,list_options_value5,price_skidka,img_color,name_color,description,list_img1,list_img2,quantity,delivery,quantity opc
1208-fine,http://terrakot-yarn.ru/1208_fine/,FINE,220.0,136,Magic,Пряжа,Главная страница,,,,Состав:,"49% шерсть, 51% акрил",Метраж:,490 м,Вес мотка:,100 гр,Вес упаковки:,0 гр (0 мотков),Цена за 1 моток:,220.0,,,,http://terrakot-yarn.ru/images/items/1208/00010217.jpg ; http://terrakot-yarn.ru/images/items/1208/00380242.jpg ; http://terrakot-yarn.ru/images/items/1208/03848801.jpg,1422 сливовый ; 1427 т.серый ; 1449 т.розовый,"Рекомендованный размер спиц  №22.5, крючка  №2.5.Это тонкая полушерстяная пряжа, которая хорошо подходит как для вязальных машин, так и для ручного вязания. Нить можно использовать в одно, в два или больше сложений. Она отлично подходит для ажурных вещей, и в тоже время из неё получаются прекрасные объёмные джемперы и кофты. Изделия будут отлично смотреться и на детях, и на взрослых. А наличие в составе акрилового волокна – гарантия того, что вещи не будут деформироваться и линять после многих стирок.",http://terrakot-yarn.ru/images/items/1208/yarn1208big.jpg,http://terrakot-yarn.ru/images//items/1208/yarn1208.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
314-super,http://terrakot-yarn.ru/314_super_excellence/,Super Excellence,220.0,138,Magic,Пряжа,Главная страница,,,,Состав:,"49% шерсть, 51% акрил",Метраж:,228 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,220.0,,,,http://terrakot-yarn.ru/images/items/314/00001845.jpg ; http://terrakot-yarn.ru/images/items/314/03818223.jpg ; http://terrakot-yarn.ru/images/items/314/03818226.jpg ; http://terrakot-yarn.ru/images/items/314/03818229.jpg ; http://terrakot-yarn.ru/images/items/314/03818768.jpg ; http://terrakot-yarn.ru/images/items/314/03818231.jpg ; http://terrakot-yarn.ru/images/items/314/03825825.jpg ; http://terrakot-yarn.ru/images/items/314/03832491.jpg ; http://terrakot-yarn.ru/images/items/314/03818233.jpg ; http://terrakot-yarn.ru/images/items/314/03818235.jpg ; http://terrakot-yarn.ru/images/items/314/03818249.jpg ; http://terrakot-yarn.ru/images/items/314/03818250.jpg ; http://terrakot-yarn.ru/images/items/314/03818251.jpg ; http://terrakot-yarn.ru/images/items/314/03818769.jpg,403 слоновая кость ; 4105 синий ; 411 св.терракот ; 4113 т.серо-голубой ; 4115 т.изумруд ; 4116 серо-коричневый ; 4117 св.кофейный ; 4121 васильковый ; 4123 малин.щербет ; 4126 жёлтый ; 4136 св.серый ; 4138 нежно-розовый ; 80 белый ; 81 черный ; 84 яр.голубая бирюза ; 86 алый ; 87 коричневый,"Рекомендуемый размер спиц: 4,5  5,0мм, крючок: №4,0. Бережная ручная стирка, max 30°C.;Полушерстянаяпряжа,мягкая на ощупь, состоящая из шерсти и акрила, благодаря чему идеально скользит по спицам, облегчая и ускоряя процесс вязания. Нить ровная по всей длине, качественная, без утолщений, не линяет и не выгорает, подходит для вязаниявсевозможных теплыхвещей для детей и взрослых. Из нее можно связать практически любую вещь: от шарфика до платья.",http://terrakot-yarn.ru/images/items/314/yarn314big.jpg,http://terrakot-yarn.ru/images//items/314/yarn314.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1582-baby,http://terrakot-yarn.ru/1582_baby_cotton_100/,BАBY COTTON 100,240.0,147,Lanoso,Пряжа,Главная страница,,,,Состав:,,Метраж:,0 м,Вес мотка:,0 гр,Вес упаковки:,0 гр (0 мотков),Цена за 1 моток:,240.0,,,,,Bаby Cotton100 901 белый ; Bаby Cotton100 911 ярк.салат ; Bаby Cotton100 952 серый,,http://terrakot-yarn.ru/images/items/1582/yarn1582big.jpg,http://terrakot-yarn.ru/images/emptyimg.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1243-boni,http://terrakot-yarn.ru/1243_bonito/,BONITO,200.0,123,Lanoso,Пряжа,Главная страница,,,,Состав:,"49% шерсть, 51% акрил",Метраж:,300 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,200.0,,,,http://terrakot-yarn.ru/images/items/1243/03820726.jpg ; http://terrakot-yarn.ru/images/items/1243/03820717.jpg ; http://terrakot-yarn.ru/images/items/1243/03849233.jpg ; http://terrakot-yarn.ru/images/items/1243/03849234.jpg ; http://terrakot-yarn.ru/images/items/1243/03849227.jpg ; http://terrakot-yarn.ru/images/items/1243/03849235.jpg ; http://terrakot-yarn.ru/images/items/1243/03849230.jpg ; http://terrakot-yarn.ru/images/items/1243/03820720.jpg ; http://terrakot-yarn.ru/images/items/1243/03820729.jpg ; http://terrakot-yarn.ru/images/items/1243/03820718.jpg ; http://terrakot-yarn.ru/images/items/1243/03820739.jpg,901 молочный ; 906 оранжевый ; 909 маренго ; 912 болотный ; 913 желтый ; 933 розовый яркий ; 935 ярк.зелень ; 955 белый ; 971 трава ; 992 шоколад ; 997 мол.шоколад,"Рекомендованный номер спиц  №3, крючка  №2.;;Пряжа Bonito  это полушерсть, очень мягкая и теплая. Отлично смотрится и в ровном полотне, и в узорах. Подходит для вязания зимних вещей как взрослым, так и детям.",http://terrakot-yarn.ru/images/items/1243/yarn1243big.jpg,http://terrakot-yarn.ru/images//items/1243/yarn1243.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1248-trav,http://terrakot-yarn.ru/1248_travka_nisan/,ТРАВКА NISAN,110.0,71,Lanoso,Пряжа,Главная страница,,,,Состав:,100% полиэстер,Метраж:,180 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,110.0,,,,http://terrakot-yarn.ru/images/items/1248/03834631.jpg,Травка Nisan 956 кармин,,http://terrakot-yarn.ru/images/items/1248/yarn1248big.jpg,http://terrakot-yarn.ru/images//items/1248/yarn1248.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1266-baby,http://terrakot-yarn.ru/1266_baby_wool/,BABY WOOL,110.0,69,Lanoso,Пряжа,Главная страница,,,,Состав:,"40% шерсть, 60% акрил",Метраж:,150 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,110.0,,,,http://terrakot-yarn.ru/images/items/1266/03820795.jpg,501 черный ; 505 т.горчица ; 598 суровый,,http://terrakot-yarn.ru/images/items/1266/yarn1266big.jpg,http://terrakot-yarn.ru/images//items/1266/yarn1266.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
552-tropi,http://terrakot-yarn.ru/552_tropikana/,Тропикана,120.0,73,Color City,Пряжа,Главная страница,,,,Состав:,"45% бамбук, 55% хлопок",Метраж:,225 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,120.0,,,,http://terrakot-yarn.ru/images/items/552/03834859.jpg ; http://terrakot-yarn.ru/images/items/552/03835226.jpg,105 неж.розовый ; 115 розовый,"Рекомендованный номер спиц: 2,0  2,5мм; крючка: №2,0  2,5.Бережная ручная стирка, max 30°C.;Сочетание бамбука и хлопка придают изделию мягкости, кожа в таком изделии дышит.",http://terrakot-yarn.ru/images/items/552/yarn552big.jpg,http://terrakot-yarn.ru/images//items/552/yarn552.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
409-prjaz,http://terrakot-yarn.ru/409_prjazha_hit/,Пряжа ХИТ,230.0,143,Color City,Пряжа,Главная страница,,,,Состав:,"80% поярковая шерсть, 20% акрил",Метраж:,420 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,230.0,,,,,Пряжа Хит 2108 желток,"Рекомендуемый размер спиц: 33,5мм, крючок: №2,02,5. Бережная ручная стирка, max 30°C.;Поярковая шерсть  шерсть, получаемая при стрижке молодняка овец в возрасте 5—7 мес. От шерсти взрослых овец поярковая шерсть отличается лучшими технологическими свойствами, она более тонкая, обладает большим блеском, более эластична.;Внимание! В упаковку 500 грамм входит 4 мотка по 100 грамм и 2 мотка по 50 грамм.",http://terrakot-yarn.ru/images/items/409/yarn409big.jpg,http://terrakot-yarn.ru/images//items/409/yarn409.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1466-mars,http://terrakot-yarn.ru/1466_marsianka/,МАРСИАНКА,200.0,125,Color City,Пряжа,Главная страница,,,,Состав:,65% вискоза - 25% хлопок - 10% меринос,Метраж:,370 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,200.0,,,,http://terrakot-yarn.ru/images/items/1466/03853080.jpg ; http://terrakot-yarn.ru/images/items/1466/03853576.jpg ; http://terrakot-yarn.ru/images/items/1466/03853084.jpg,Марсианка 12 желток ; Марсианка 15/1 ярк.зеленый ; Марсианка 16 розовый яркий ; Марсианка 41 черный,"Рекомендованный размер спиц: № 3,55мм.",http://terrakot-yarn.ru/images/items/1466/yarn1466big.jpg,http://terrakot-yarn.ru/images//items/1466/yarn1466.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
547-amazo,http://terrakot-yarn.ru/547_amazonka/,Амазонка,120.0,74,Color City,Пряжа,Главная страница,,,,Состав:,"45% бамбук, 55% хлопок",Метраж:,155 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,120.0,,,,http://terrakot-yarn.ru/images/items/547/03834858.jpg ; http://terrakot-yarn.ru/images/items/547/03834851.jpg ; http://terrakot-yarn.ru/images/items/547/03834854.jpg,101 белый ; 105 неж.розовый ; 115 розовый,"Рекомендуемый размер спиц: 2,0  2,5мм, крючок: №1,5  2,0. Стирка в тёплой воде (температура до 30 С).",http://terrakot-yarn.ru/images/items/547/yarn547big.jpg,http://terrakot-yarn.ru/images//items/547/yarn547.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
617-safra,http://terrakot-yarn.ru/617_safran/,Safran,190.0,119,Drops,Пряжа,Главная страница,,,,Состав:,100% египетский хлопок,Метраж:,160 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,190.0,,,,http://terrakot-yarn.ru/images/items/617/03845090.jpg ; http://terrakot-yarn.ru/images/items/617/03845097.jpg ; http://terrakot-yarn.ru/images/items/617/03845098.jpg ; http://terrakot-yarn.ru/images/items/617/03845099.jpg ; http://terrakot-yarn.ru/images/items/617/03845101.jpg ; http://terrakot-yarn.ru/images/items/617/03845104.jpg ; http://terrakot-yarn.ru/images/items/617/03845771.jpg ; http://terrakot-yarn.ru/images/items/617/03845105.jpg ; http://terrakot-yarn.ru/images/items/617/03845773.jpg ; http://terrakot-yarn.ru/images/items/617/03845106.jpg,02 розовый ; 11 канарейка ; 12 роз.персик ; 13 багряный ; 16 черный ; 19 красный ; 20 ягода ; 22 темн.беж. ; 23 коричневый ; 28 оранж,"Рекомендуемый размер спиц: 3,0мм; крючок: 2,5  3,0. Плотность вязания: 10х10см=23пх 30р. Бережная машинная стирка, max 40°C.;Safran  это легкий хлопок очень высокого качества, мягкий и крепкий, скрученный из многочисленных тончайших нитей. Safran  это классическая пряжа марки Drops, которая покоряет сердца покупателей уже много лет.;Drops Safranможет быть использован для вязания любой одежды, особенно летней. Прекрасно подходит для одежды новорожденных и вязаных аксессуаров.",http://terrakot-yarn.ru/images/items/617/yarn617big.jpg,http://terrakot-yarn.ru/images//items/617/yarn617.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
1359-pola,http://terrakot-yarn.ru/1359_polaris_mix/,POLARIS MIX,620.0,389,Drops,Пряжа,Главная страница,,,,Состав:,100% шерсть,Метраж:,37 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,620.0,,,,http://terrakot-yarn.ru/images/items/1359/03847115.jpg,Polaris m07 сиреневый меланж,"Рекомендуемый размер спиц: 12,0 мм. Плотность вязания: 10см х 10см = 7п х 8р. Ручная стирка, max 30°C.;DROPS Polaris Mix  это пряжа из одной нити (ровница). Пряжа не была подвергнута химической обработке перед окраской. ПряжаPolarisотлично подходит для верхней одежды  пончо, шарфы, шапки, сумки. Вяжется быстро, как 2 нитки Eskimo.Шерсть подходит для валяния.; Drops Polaris Mix  пряжа смешанного цвета, такой эффект достигается прочесыванием нескольких цветов вместе перед прядением.",http://terrakot-yarn.ru/images/items/1359/yarn1359big.jpg,http://terrakot-yarn.ru/images//items/1359/yarn1359.png,20,2,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1010;10;10;10;10;1010;10;10;10;10;10;10;10;10;10
