sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,list_optoins5,list_optoins_value5,list_options9,list_optoins_value9,list_options8,list_optoins_value8,list_options7,list_optoins_value7,list_img,description,img_color,name_color,quantity,quantity opc
552-tropi,http://terrakot-yarn.ru/552_tropikana/,Тропикана,120.0,73,Color City,Пряжа,Главная страница,,,,Состав:,"45% бамбук, 55% хлопок",Метраж:,225 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,73.00 руб,,,,,,,,,"/images/items/552/03834859.jpg,/images/items/552/03835226.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;Сочетание бамбука и хлопка придают изделию мягкости, кожа в таком изделии дышит.","[['/images/items/552/yarn552big.jpg'], ['/images//items/552/yarn552.png']]","105 неж.розовый,115 розовый",10,10;10;10;10;10;10;10;10;10
1664-jubi,http://terrakot-yarn.ru/1664_jubilejnaja/,ЮБИЛЕЙНАЯ,390.0,244,Троицкая пряжа,Пряжа,Главная страница,,,,Состав:,,Метраж:,0 м,Вес мотка:,0 гр,Вес упаковки:,0 гр (0 мотков),Цена за 1 моток:,244.00 руб,,,,,,,,,,,"[['/images/items/1664/yarn1664big.jpg'], ['/images/emptyimg.png']]","Юбилейная 0057 светлый салат,Юбилейная 0112 зеленый,Юбилейная 0170 василек,Юбилейная 0235 супер белый,Юбилейная 0282 голубой,Юбилейная 0313 изумруд,Юбилейная 0339 морская волна,Юбилейная 0384 кристалл,Юбилейная 0474 голубая бирюза,Юбилейная 1440 алый,Юбилейная 1470 габардин,Юбилейная 1925 светлая азалия,Юбилейная 2210 кофе с молоком",10,10;10;10;10;10;10;10;10;10
1367-papi,http://terrakot-yarn.ru/1367_papillon_color/,PAPILLON COLOR,110.0,70,Lanoso,Пряжа,Главная страница,,,,Состав:,"50% хлопок, 50% вискоза",Метраж:,210 м,Вес мотка:,50 гр,Вес упаковки:,300 гр (6 мотков),Цена за 1 моток:,70.00 руб,,,,,,,,,"/images/items/1367/03851321.jpg,/images/items/1367/03851313.jpg","Рекомендуемый размер спиц: 2.02.5Пряжа иделально подходит для вязания спицами и крючком. Чудесная ниточка очень ровно ложится в узор. Изделия из данной пряжи получаются мягкими и прекрасно держат форму. Натуральная вискоза не колется, не пилингуется (не образуются катышки, что особенно важно при носк). При стирке не линяет. Ниточка в изделии дает мягкий блеск. Подходит для вязания палантинов, шапочек, кофточек, туники. Мастерицы вяжут из этой пряжи круглый год! Универсальная ниточка. Сочетание вискозы и хлопка придают пряже перламутровый эффект, нарядность. Гигроскопична, не вызывает аллергии. Трикотажное полотно из этой пряжи хорошо драпируется, держит форму.","[['/images/items/1367/yarn1367big.jpg'], ['/images//items/1367/yarn1367.png']]","102 радуга,104 желт-красн-фиол.",10,10;10;10;10;10;10;10;10;10
1248-trav,http://terrakot-yarn.ru/1248_travka_nisan/,ТРАВКА NISAN,110.0,71,Lanoso,Пряжа,Главная страница,,,,Состав:,100% полиэстер,Метраж:,180 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,71.00 руб,,,,,,,,,/images/items/1248/03834631.jpg,,"[['/images/items/1248/yarn1248big.jpg'], ['/images//items/1248/yarn1248.png']]",Травка Nisan 956 кармин,10,10;10;10;10;10;10;10;10;10
156-fialk,http://terrakot-yarn.ru/156_fialka/,Фиалка,90.0,58,ПНК им. Кирова,Пряжа,Главная страница,,,,Состав:,100% хлопок,Метраж:,225 м,Вес мотка:,75 гр,Вес упаковки:,450 гр (6 мотков),Цена за 1 моток:,58.00 руб,,,,,,,,,"/images/items/156/03829846.jpg,/images/items/156/03846547.jpg,/images/items/156/03847346.jpg,/images/items/156/03846635.jpg,/images/items/156/03855144.jpg,/images/items/156/03847354.jpg,/images/items/156/03847344.jpg,/images/items/156/03847349.jpg,/images/items/156/03846042.jpg,/images/items/156/03846634.jpg,/images/items/156/03847348.jpg,/images/items/156/03855143.jpg,/images/items/156/03847350.jpg,/images/items/156/03851552.jpg,/images/items/156/03846040.jpg,/images/items/156/03847353.jpg,/images/items/156/03846041.jpg,/images/items/156/03855145.jpg,/images/items/156/03855142.jpg,/images/items/156/03851551.jpg,/images/items/156/03853060.jpg,/images/items/156/03846636.jpg","Рекомендуемый размер спиц: 2,0 - 3,0мм, крючок: №1,25 - 2,0. Стирка в тёплой воде (температура до 30 С).;Пряжа изготовлена из качественного хлопка, очень приятна на ощупь, в вязке не слоится. Изделия из пряжи Фиалки не тянутся и не пружинят, однако получаются мягкими и приятными в носке. Поэтому подходит даже маленьким детям. Нить одинаково хороша как в гладком полотне, так и в узорах. Благодаря полному отсутствию блеска пряжа идеальна для летних подростковых и мужских моделей. ","[['/images/items/156/yarn156big.jpg'], ['/images//items/156/yarn156.png']]","(6) 0101 белый,(6) 0102 молочный,(6) 0203 жёлтый,(6) 0303 шафран,(6) 0502 мандарин,(6) 0601 лососевый,(6) 0703 красный,(6) 0805 т.мальва,(6) 0901 бл.розовый,(6) 0905 бордо,(6) 1001 сирень,(6) 1302 т.сирень,(6) 1601 гол.джинс,(6) 1603 т.голубой,(6) 1604 синий,(6) 2002 св.бирюза,(6) 2102 весна,(6) 2304 зеленый,(6) 2501 салат,(6) 2503 зелень,(6) 3003 персик,(6) 3203,(6) 3302 св.какао,(6) 3704 кора,(6) 3904 т.джинс,(6) 4302 серый,(6) 4303,(6) 4305 черный,(6) 5103",10,10;10;10;10;10;10;10;10;10
153-snezh,http://terrakot-yarn.ru/153_snezhinka/,Снежинка,50.0,33,ПНК им. Кирова,Пряжа,Главная страница,,,,Состав:,100% хлопок,Метраж:,230 м,Вес мотка:,25 гр,Вес упаковки:,500 гр (20 мотков),Цена за 1 моток:,33.00 руб,,,,,,,,,/images/items/153/03816199.jpg,"Рекомендованный номер крючка: №0,9 - 1,1. Бережная ручная стирка, max 30°C.;Тоненькая, плотно скрученная ниточка ""Снежинка"". Отлично подойдет для вывязывания ажурных салфеток и скатертей, многие вязальщицы используют эту нить в ирландском кружеве на сеточку.","[['/images/items/153/yarn153big.jpg'], ['/images//items/153/yarn153.png']]",,10,10;10;10;10;10;10;10;10;10
248-baby-,http://terrakot-yarn.ru/248_baby_set_marifetli/,Baby Set Marifetli,170.0,106,Alize,Пряжа,Главная страница,,,,Состав:,100% полиэстер,Метраж:,95 м,Вес мотка:,100 гр,Вес упаковки:,600 гр (6 мотков),Цена за 1 моток:,106.00 руб,,,,,,,,,/images/items/248/03829927.jpg,"Рекомендуемый размер спиц: 3,0 - 3,5 мм. Стирка в тёплой воде (температура до 30 С).;;Пряжа Марифетли состоит из плетеной основы, на которую навиты пушистые помпоны. Как и любая фасонная пряжа с помпонами, идеально подходит на шарфы, детские пледы, пелерины, накидки. Также прекрасно послужит для украшения интерьера детской комнаты. Можно вязать лицевой, изнаночной гладью. При вязании только лицевыми петлями получается двухсторонний узор.","[['/images/items/248/yarn248big.jpg'], ['/images//items/248/yarn248.png']]",60 чёрный,10,10;10;10;10;10;10;10;10;10
417-forev,http://terrakot-yarn.ru/417_forever/,Forever,100.0,65,Alize,Пряжа,Главная страница,,,,Состав:,100% микрофибра,Метраж:,300 м,Вес мотка:,50 гр,Вес упаковки:,250 гр (5 мотков),Цена за 1 моток:,65.00 руб,,,,,,,,,"/images/items/417/03822955.jpg,/images/items/417/03822942.jpg,/images/items/417/03822946.jpg,/images/items/417/03852267.jpg,/images/items/417/03822956.jpg,/images/items/417/03822948.jpg,/images/items/417/03822954.jpg,/images/items/417/03836036.jpg,/images/items/417/03822944.jpg,/images/items/417/03841846.jpg,/images/items/417/03822934.jpg,/images/items/417/03836037.jpg,/images/items/417/03822940.jpg,/images/items/417/03829989.jpg,/images/items/417/03822941.jpg,/images/items/417/03852268.jpg,/images/items/417/03822952.jpg,/images/items/417/03822950.jpg,/images/items/417/03824798.jpg,/images/items/417/03822957.jpg,/images/items/417/03822936.jpg,/images/items/417/03841847.jpg,/images/items/417/03822939.jpg,/images/items/417/03822953.jpg,/images/items/417/03829992.jpg,/images/items/417/03822945.jpg,/images/items/417/03822932.jpg,/images/items/417/03822933.jpg,/images/items/417/03829991.jpg,/images/items/417/03829990.jpg,/images/items/417/03830960.jpg,/images/items/417/03830958.jpg,/images/items/417/03830959.jpg","Рекомендуемый размер спиц: 2,5 - 3,0мм, крючок: №0,75 - 1,5. Стирка в тёплой воде (температура до 30 С).;;Легкая пряжа Forever предназначена для вязания весенне-летних вещей. Это прочная, бархатистая, воздухопроницаемая ниточка, приятная в работе и, конечно, в носке. Из пряжи Forever можно вязать исключительные по красоте и комфортности летние костюмы, ажурные кофточки, топы, юбки и многое другое. Рукодельницы могут использовать пряжу как для работы со спицами, так и для вязания крючком.; ","[['/images/items/417/yarn417big.jpg'], ['/images//items/417/yarn417.png']]","01 суровый,106 т.красный,110 солнечный,111 сливовый,141 синий,149 мальва,150 коричневый,158 сиреневый,16 т.бирюза,167 серобеж.,26 шоколад,282 само,292 жемчужный,298 золотистый беж,32 св.розовый,328 ярк.зелень,339 т.вишня,35 зеленый,361 т.синий,376 бирюза,39 розовый лепесток,394 верблюжий,396 малина,40 св.гиацинт,459 серый,488 т.жёлтый,52 св.серый,55 белый,60 черный,610 зелёная бирюза,612 салат,619 т.персик,621 фуксия,622 темн.сирень,83 тыква",10,10;10;10;10;10;10;10;10;10
411-super,http://terrakot-yarn.ru/411_superlana_tig/,Superlana Tig,190.0,118,Alize,Пряжа,Главная страница,,,,Состав:,"25% шерсть, 75% акрил",Метраж:,570 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,118.00 руб,,,,,,,,,"/images/items/411/03839646.jpg,/images/items/411/03847327.jpg,/images/items/411/03839638.jpg,/images/items/411/03841870.jpg,/images/items/411/03841851.jpg,/images/items/411/03841869.jpg,/images/items/411/03839630.jpg,/images/items/411/03839631.jpg,/images/items/411/03841856.jpg,/images/items/411/03841873.jpg,/images/items/411/03839640.jpg,/images/items/411/03848140.jpg,/images/items/411/03854518.jpg,/images/items/411/03839634.jpg,/images/items/411/03841859.jpg,/images/items/411/03839633.jpg,/images/items/411/03848141.jpg,/images/items/411/03848142.jpg,/images/items/411/03848112.jpg,/images/items/411/03841866.jpg,/images/items/411/03839632.jpg,/images/items/411/03841858.jpg,/images/items/411/03849859.jpg,/images/items/411/03841871.jpg,/images/items/411/03848194.jpg,/images/items/411/03839645.jpg,/images/items/411/03848114.jpg,/images/items/411/03853649.jpg,/images/items/411/03849852.jpg,/images/items/411/03848139.jpg,/images/items/411/03839635.jpg,/images/items/411/03839644.jpg,/images/items/411/03839643.jpg,/images/items/411/03839641.jpg,/images/items/411/03839628.jpg,/images/items/411/03841874.jpg,/images/items/411/03839637.jpg,/images/items/411/03839629.jpg,/images/items/411/03839647.jpg,/images/items/411/03847329.jpg,/images/items/411/03842062.jpg,/images/items/411/03856619.jpg,/images/items/411/03848113.jpg","Рекомендуемый размер спиц: 2,0 - 2,5мм, крючок: №0,5-1,0. Стирка в тёплой воде (температура до 30 С).;;Тонкие ажурные аксессуары, шали, джемпера, туники, связанные из этой пряжи, будут практичны и уютны. Широкая цветовая палитра, представленная в нашем магазине, позволит подобрать пряжу любимых оттенков.","[['/images/items/411/yarn411big.jpg'], ['/images//items/411/yarn411.png']]","01 сливочный,02 золото,111 сливовый,138 бл.полынь,142 серая роза,144 розовая пудра,152 лен,161 пудра,164 пыльная бирюза,168 лунный камень,182 маренго,187 св.желтый,196 т.сер.меланж,207 серобежевый,208 серебр.мел,21 серый меланж,213 натуральный,257 сирень,271 св.розовый,295 св.черничный,307 прелая вишня,310 кремовый,312 сухая сирень,345 хаки,363 розовый бутон,381 морская волна,390 георгин,450 суровый,463 пыльная мята,467 бирюза,495 рубин,499 св.беж,514 св.голубой,518 розовый,55 белый,56 красный,57 бордо,58 т. синий,584 т. беж,599 слоновая кость,60 черный,62 молочный,652 натур.св.серый,697 т.беж,698 перламутр.,73 брусника,87 т.серый",10,10;10;10;10;10;10;10;10;10
533-cvetn,http://terrakot-yarn.ru/533_cvetnoe_kruzhevo/,Цветное Кружево,120.0,75,Пехорка,Пряжа,Главная страница,,,,Состав:,100% мерсеризованный хлопок,Метраж:,475 м,Вес мотка:,50 гр,Вес упаковки:,200 гр (4 мотков),Цена за 1 моток:,75.00 руб,,,,,,,,,"/images/items/533/03830749.jpg,/images/items/533/03830750.jpg,/images/items/533/03830751.jpg,/images/items/533/03845650.jpg,/images/items/533/03830753.jpg,/images/items/533/03830754.jpg,/images/items/533/03846450.jpg,/images/items/533/03845651.jpg,/images/items/533/03830756.jpg,/images/items/533/03835495.jpg,/images/items/533/03830757.jpg,/images/items/533/03830758.jpg,/images/items/533/03830759.jpg,/images/items/533/03830760.jpg,/images/items/533/03846451.jpg,/images/items/533/03830761.jpg,/images/items/533/03830762.jpg,/images/items/533/03830763.jpg,/images/items/533/03845656.jpg,/images/items/533/03830764.jpg","Рекомендованный номер крючка: №0,9 - 1,1. Бережная ручная стирка, max 30°C.;Тоненькая, плотно скрученная ниточка ""Цветное кружево"". Отлично подойдет для вывязывания ажурных салфеток и скатертей, многие вязальщицы используют эту нить в ирландском кружеве.","[['/images/items/533/yarn533big.jpg'], ['/images//items/533/yarn533.png']]","02 чёрный,03 св.бежевый,05 голубой,07 бордо,124 песочный,15 т.голубой,161 мокко,174 стальной,18 персик,180 св.бегония,276 перламутр,335 изумруд,396 настурция,45 т.бирюза,480 яр.зелень,49 фуксия,53 св.жёлтый,567 т.фиалка,581 св.изумруд,73 айсберг,99 абрикос",10,10;10;10;10;10;10;10;10;10
27-sonata,http://terrakot-yarn.ru/27_sonata_lama/,Соната Лама,200.0,124,Лама,Пряжа,Главная страница,,,,Состав:,"50% шерсть, 50% акрил",Метраж:,250 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,124.00 руб,,,,,,,,,/images/items/27/03845664.jpg,,"[['/images/items/27/yarn27big.jpg'], ['/images//items/27/yarn27.png']]","красный,розовый,цыпленок",10,10;10;10;10;10;10;10;10;10
21-presti,http://terrakot-yarn.ru/21_prestizh_ljuks/,Престиж Люкс,170.0,108,Лама,Пряжа,Главная страница,,,,Состав:,"30% мохер, 70% акрил",Метраж:,275 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,108.00 руб,,,,,,,,,"/images/items/21/00006791.jpg,/images/items/21/00006793.jpg,/images/items/21/00010180.jpg",,"[['/images/items/21/yarn21big.jpg'], ['/images//items/21/yarn21.png']]","бежевый,белый,какао,лён,маренго,шоколад",10,10;10;10;10;10;10;10;10;10
16-dachna,http://terrakot-yarn.ru/16_dachnaja/,Дачная,150.0,96,Лама,Пряжа,Главная страница,,,,Состав:,"50% шерсть, 50% акрил",Метраж:,260 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,96.00 руб,,,,,,,,,,,"[['/images/items/16/yarn16big.jpg'], ['/images//items/16/yarn16.png']]",меланж,10,10;10;10;10;10;10;10;10;10
