sku,Link,name_v,price,price_z,categor_list0,categor_list1,categor_list2,categor_list3,categor_list4,categor_list5,list_optoins0,list_optoins_value0,list_options5,list_optoins_value5,list_optoins1,list_optoins_value1,list_optoins2,list_optoins_value2,list_optoins3,list_optoins_value3,list_optoins4,list_optoins_value4,price_skidka,list_img,description,img_color,name_color,quantity,quantity opc
1237-trav,http://terrakot-yarn.ru/1237_travka_kartopu/,ТРАВКА KARTOPU,110.0,69,Kartopu,Пряжа,Главная страница,,,,Состав:,100% полиэстер,,,Метраж:,125 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,110.0,,,"Пряжа Yumos состоит из длинных мягких ворсинок, представлена в широкой цветовой гамме. Эту пряжу можно использовать для вязания аксессуаров для дома: коврики для ванной или зала, покрывала для кровати и кресел, пледы.","[['/images/items/1237/yarn1237big.jpg'], ['/images//items/1237/yarn1237.png']]",Травка Kartopu КF106А шампанское,10,10;10;10;10;10;10;10;10;10
331-travk,http://terrakot-yarn.ru/331_travka_ayaz/,Травка Ayaz,140.0,89,Ayaz,Пряжа,Главная страница,,,,Состав:,100% полиэстер,,,Метраж:,140 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,140.0,,"/images/items/331/03850517.jpg,/images/items/331/03843283.jpg,/images/items/331/03817317.jpg,/images/items/331/03825201.jpg,/images/items/331/03823755.jpg,/images/items/331/03821440.jpg,/images/items/331/03817318.jpg,/images/items/331/03809371.jpg,/images/items/331/03818104.jpg,/images/items/331/03839350.jpg,/images/items/331/03843280.jpg,/images/items/331/03810072.jpg,/images/items/331/03817320.jpg,/images/items/331/03809366.jpg,/images/items/331/03809370.jpg,/images/items/331/03810071.jpg,/images/items/331/03821442.jpg,/images/items/331/03809374.jpg,/images/items/331/03825202.jpg,/images/items/331/03821448.jpg,/images/items/331/03821449.jpg,/images/items/331/03834649.jpg,/images/items/331/03843274.jpg,/images/items/331/03821441.jpg,/images/items/331/03821443.jpg,/images/items/331/03817321.jpg,/images/items/331/03821453.jpg,/images/items/331/03810073.jpg,/images/items/331/03823697.jpg,/images/items/331/03843276.jpg,/images/items/331/03843278.jpg,/images/items/331/03821446.jpg,/images/items/331/03818103.jpg,/images/items/331/03810075.jpg,/images/items/331/03843279.jpg,/images/items/331/03844268.jpg,/images/items/331/03843277.jpg,/images/items/331/03847965.jpg,/images/items/331/03823696.jpg,/images/items/331/03821450.jpg,/images/items/331/03821447.jpg,/images/items/331/03817316.jpg,/images/items/331/03810070.jpg,/images/items/331/03821454.jpg,/images/items/331/03809372.jpg,/images/items/331/03810076.jpg,/images/items/331/03810074.jpg,/images/items/331/03823698.jpg,/images/items/331/03850514.jpg,/images/items/331/03823695.jpg,/images/items/331/03817324.jpg,/images/items/331/03817322.jpg,/images/items/331/03823694.jpg,/images/items/331/03825203.jpg,/images/items/331/03810067.jpg,/images/items/331/03830364.jpg,/images/items/331/03845330.jpg","Рекомендуемый размер спиц: 5 - 9мм, крючок: №2 - 5. Стирка в тёплой воде (температура до 30 С).;;Основное предназначение интересной и необычной пряжи – отделка вязаных изделий. Впрочем, эта замечательная пряжа-травка может использоваться и в качестве основной, например, в детских кофточках, свитерах, курточках, карнавальных костюмах и даже в таких взрослых вещах, как шарфики, шапки, повязки, шубки, шали. ","[['/images/items/331/yarn331big.jpg'], ['/images//items/331/yarn331.png']]","1000-1188 сир.перс-белый,1000-1217 черн.суровый,1060 лиловый,1076 блед.голубой,1111 горчица,1130 серый,1133 василёк,1137 яркая мальва,1148 т.синий,1165 яркая фуксия,1184 канарейка,1187 т.сиреневый,1188 фиолетовый,1195 сталь,1203 ярко-зелёный,1207 алый,1208 белый,1213 морская волна,1214 голубой,1215 св.жёлтый,1217 чёрный,1217-1251 чёрный-красный,1219 бежевый,1223 бронза,1233 сиреневая дымка,1235 голубая бирюза,1236 ярко-розовый,1251 красный,1256 шампанское,1257 серобежевый,1263 аспарагус,1275 т.пудра,1280 айсберг,1328 морская лазурь,1395 салат неон,1396 ярк.фуксия,1397 лимонный флюр,1398 коралловый флюр,1507 медный,1966 т.оранж,1979 оранж,1999 бордо,2036 сиреневый,2175 т.красный,2199 св.беж,2249 розово-сиреневый,2256 т.голубой,2291 т.олива,2292 персиковый,2873 т.изумруд,3244 т.розовый,3246 коралл,3587 ледяная мята,5531 бл.розовый,6086 салат,6195 шоколад,7574 трава,7690 перламутровый,9249 фуксия",10,10;10;10;10;10;10;10;10;10
330-yumur,http://terrakot-yarn.ru/330_yumurcak/,Yumurcak,190.0,118,Ayaz,Пряжа,Главная страница,,,,Состав:,100% полиэстер,,,Метраж:,145 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,190.0,,"/images/items/330/03831333.jpg,/images/items/330/03831322.jpg","Рекомендованный размер спиц №3,5 - 5,0; крючок №3,0 - 4,0. Ручная стирка.;;Эта фантазийная пряжа на 100% состоит из микрополиэстера, на ощупь очень мягкая и приятная, настоящая «плюшевая пряжа». Подходит для вязания детских вещей, игрушек.","[['/images/items/330/yarn330big.jpg'], ['/images//items/330/yarn330.png']]","1188 фиолетовый,1235 гол.бирюза,Цитрон",10,10;10;10;10;10;10;10;10;10
335-yumur,http://terrakot-yarn.ru/335_yumurcak_benekli/,Yumurcak Benekli,220.0,139,Ayaz,Пряжа,Главная страница,,,,Состав:,100% полиэстер,,,Метраж:,120 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,220.0,,"/images/items/335/03840425.jpg,/images/items/335/03840412.jpg,/images/items/335/03843286.jpg,/images/items/335/03840431.jpg,/images/items/335/03840422.jpg,/images/items/335/03840423.jpg,/images/items/335/03840420.jpg,/images/items/335/03840413.jpg","Рекомендованный размер спиц №3,5 - 5,0; крючок №3,0 - 4,0. Ручная стирка. ;;Эта фантазийная пряжа на 100% состоит из микрополиэстера, на ощупь очень мягкая и приятная, настоящая «плюшевая пряжа». Подходит для вязания детских вещей, игрушек.","[['/images/items/335/yarn335big.jpg'], ['/images//items/335/yarn335.png']]","1054-11 ч.роза-детский,1208-14 бел-беж-кор.,1208-15 бел-г.бир-черн,1235-51 гол.бирюза,1256-11 экрю-детский,1256-13 экрю-голубой,1300-13 мол-голубой,1300-14 мол-беж-кор.",10,10;10;10;10;10;10;10;10;10
261-baby-,http://terrakot-yarn.ru/261_baby_flower/,Baby Flower,290.0,179,Alize,Пряжа,Главная страница,,,,Состав:,"94% акрил, 6% полиамид",,,Метраж:,210 м,Вес мотка:,100 гр,Вес упаковки:,500 гр (5 мотков),Цена за 1 моток:,290.0,,"/images/items/261/03842063.jpg,/images/items/261/03841953.jpg,/images/items/261/03841955.jpg,/images/items/261/03844314.jpg,/images/items/261/03841944.jpg,/images/items/261/03841963.jpg,/images/items/261/03841957.jpg,/images/items/261/03841948.jpg,/images/items/261/03853765.jpg,/images/items/261/03855613.jpg","Рекомендуемый размер спиц: 3,5 - 4,5мм. крючок: №2,5 - 3,5. Стирка в тёплой воде (температура до 30 С).; ;Пряжа используется для вязания самых разных предметов гардероба, аксессуаров как в качестве основной пряжи, так и для декора, отделки. Нежнейшие оттенки, а также специальный гипоаллергенный состав позволят вам связать детскую одежду и аксессуары. Отсутствие в составе шерсти позволяет использовать эту пряжу для самых маленьких.","[['/images/items/261/yarn261big.jpg'], ['/images//items/261/yarn261.png']]","5383 молочный,5384 айсберг-оранж.,5385 св.желтый-голубой,5402 белый-неон,5408 бел.-розовый,5411 мятн.-розовый,5412 бл.желтый-алый,5435 т.гол.-желтый,5465 т.синий,5479 ультрабелый,5562 речной жемчуг,5808 бежевый,5874 белый-желтый",10,10;10;10;10;10;10;10;10;10
1633-leja,http://terrakot-yarn.ru/1633_leja/,ЛЕЯ,none,none,Троицкая пряжа,Пряжа,Главная страница,,,,Состав:,"34% шерсть, 48% акрил, 18% ангора",,,Метраж:,105 м,Вес мотка:,50 гр,Вес упаковки:,500 гр (10 мотков),Цена за 1 моток:,80.0,90.0,"/images/items/1633/03858153.jpg,/images/items/1633/03858160.jpg,/images/items/1633/03858146.jpg,/images/items/1633/03858166.jpg,/images/items/1633/03858145.jpg,/images/items/1633/03858157.jpg,/images/items/1633/03858162.jpg,/images/items/1633/03858154.jpg,/images/items/1633/03858155.jpg,/images/items/1633/03858167.jpg,/images/items/1633/03858156.jpg,/images/items/1633/03858163.jpg",,"[['/images/items/1633/yarn1633big.jpg'], ['/images//items/1633/yarn1633.png']]","Лея 0057 св.салат,Лея 0086 терракот,Лея 0134 багряный,Лея 0140 черный,Лея 0230 отбелка,Лея 0266 фиолетовый,Лея 0412 шоколад,Лея 0449 полынь,Лея 1080 шампанское,Лея 1342 лимон,Лея 1440 алый,Лея 1623 оранжевый,Лея 2286 зеленый луг,Лея 3880 фуксия",10,10;10;10;10;10;10;10;10;10
1664-jubi,http://terrakot-yarn.ru/1664_jubilejnaja/,ЮБИЛЕЙНАЯ,390.0,244,Троицкая пряжа,Пряжа,Главная страница,,,,Состав:,,,,Метраж:,0 м,Вес мотка:,0 гр,Вес упаковки:,0 гр (0 мотков),Цена за 1 моток:,390.0,,,,"[['/images/items/1664/yarn1664big.jpg'], ['/images/emptyimg.png']]","Юбилейная 0057 светлый салат,Юбилейная 0112 зеленый,Юбилейная 0170 василек,Юбилейная 0235 супер белый,Юбилейная 0282 голубой,Юбилейная 0313 изумруд,Юбилейная 0339 морская волна,Юбилейная 0384 кристалл,Юбилейная 0474 голубая бирюза,Юбилейная 1440 алый,Юбилейная 1470 габардин,Юбилейная 1925 светлая азалия,Юбилейная 2210 кофе с молоком",10,10;10;10;10;10;10;10;10;10
100-shotl,http://terrakot-yarn.ru/100_shotlandskij_tvid/,Шотландский твид,250.0,154,Троицкая пряжа,Пряжа,Главная страница,,,,Состав:,100% шерсть,,,Метраж:,360 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,250.0,,"/images/items/100/03851131.jpg,/images/items/100/03850072.jpg,/images/items/100/03852930.jpg,/images/items/100/03854017.jpg,/images/items/100/03852929.jpg,/images/items/100/03852928.jpg,/images/items/100/03852926.jpg",,"[['/images/items/100/yarn100big.jpg'], ['/images//items/100/yarn100.png']]","Шотландский Твид 0230 отбелка,Шотландский Твид 2110 меланж сирень,Шотландский Твид 3800 коричневый,Шотландский Твид 8001 меланж бордо,Шотландский Твид 8002 меланж,Шотландский Твид 8003 меланж,Шотландский Твид 8005 меланж(сирень),Шотландский Твид 8008 меланж коричневый,Шотландский Твид 8009 меланж (ежевика),Шотландский Твид 8013 меланж (цикламен),Шотландский Твид 8014 меланж (омут),Шотландский Твид 8017 меланж т.бирюза",10,10;10;10;10;10;10;10;10;10
104-shers,http://terrakot-yarn.ru/104_sherst_dlja_valjanija_tonkaja_m_k/,Шерсть для валяния тонкая м/к,90.0,56,Троицкая пряжа,Пряжа,Главная страница,,,,Состав:,100% тонкая мериносовая шерсть,,,Метраж:,0 м,Вес мотка:,25 гр,Вес упаковки:,25 гр (1 мотков),Цена за 1 моток:,90.0,,"/images/items/104/03820066.jpg,/images/items/104/03820069.jpg,/images/items/104/03825747.jpg,/images/items/104/03828728.jpg",,"[['/images/items/104/yarn104big.jpg'], ['/images//items/104/yarn104.png']]","(1)  6011,(1)  6019,(1)  6031,(1)  6043,(1)  6051,(1)  6061,(1)  6063,(1)  6065,(1)  6076,(1)  6093,(1)  6104,(1)  6128",10,10;10;10;10;10;10;10;10;10
1535-lada,http://terrakot-yarn.ru/1535_lada_(lada)/,LADA (Лада),350.0,221,Семёновская пряжа,Пряжа,Главная страница,,,,Состав:,"Шерсть 15%, шерсть альпака 35%, акрил 50%",,,Метраж:,380 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,350.0,,"/images/items/1535/03855053.jpg,/images/items/1535/03854567.jpg,/images/items/1535/03855050.jpg,/images/items/1535/03854579.jpg,/images/items/1535/03854569.jpg","Рекомендованный размер спиц и крючков: №2,0  3,5мм.Lada (Лада)  пряжа классической крутки, средней толщины, в состав которой входит шерсть альпаки. Прекрасно подходит для вязания верхнего трикотажа, шапок, шарфов и других аксессуаров.","[['/images/items/1535/yarn1535big.jpg'], ['/images//items/1535/yarn1535.png']]","10406, Lada, 1, черный,10406, Lada, 179, белый,10406, Lada, 213, кармин,10406, Lada, 386, св.пес.,10406, Lada, 7279, верблюжий",10,10;10;10;10;10;10;10;10;10
144-lg-ak,http://terrakot-yarn.ru/144_lg_akril/,ЛГ_акрил,110.0,69,Семёновская пряжа,Пряжа,Главная страница,,,,Состав:,100% акрил,,,Метраж:,0 м,Вес мотка:,100 гр,Вес упаковки:,100 гр (1 мотков),Цена за 1 моток:,110.0,,"/images/items/144/03804818.jpg,/images/items/144/00556116.jpg",,"[['/images/items/144/yarn144big.jpg'], ['/images//items/144/yarn144.png']]","170, ЛГ_Акрил, 1, черный,170, ЛГ_Акрил, 58, т.корич",10,10;10;10;10;10;10;10;10;10
113-villa,http://terrakot-yarn.ru/113_village_(krestjanka)/,Village (Крестьянка),240.0,147,Семёновская пряжа,Пряжа,Главная страница,,,,Состав:,"34% хлопок, 33% лён, 33% вискоза",,,Метраж:,400 м,Вес мотка:,100 гр,Вес упаковки:,1000 гр (10 мотков),Цена за 1 моток:,240.0,,"/images/items/113/03852048.jpg,/images/items/113/03851418.jpg,/images/items/113/03850310.jpg,/images/items/113/03851420.jpg","Рекомендованный номер спиц: 2,0 - 2,5мм; крючка: №2,0 - 2,5. Бережная ручная стирка, max 30°C.;;Пряжа «Крестьянка» превосходно подходит для вязания крючком ажурных узоров. Так же хороша пряжа для изготовления различных аксессуаров. После стирки не рекомендуется изделия выкручивать, сушить в разложенном виде. Не деформируется при тепловой обработке.","[['/images/items/113/yarn113big.jpg'], ['/images//items/113/yarn113.png']]","10506, Village, 30001, черный_х1,10506, Village, 30171, гвозд_х1,10506, Village, 30922, тропик_х1,10506, Village, 30968, св.фиал_х1,10506, Village, 31663, дыня_х1",10,10;10;10;10;10;10;10;10;10
151-romas,http://terrakot-yarn.ru/151_romashka/,Ромашка,210.0,132,ПНК им. Кирова,Пряжа,Главная страница,,,,Состав:,100% мерсеризованный хлопок,,,Метраж:,320 м,Вес мотка:,75 гр,Вес упаковки:,300 гр (4 мотков),Цена за 1 моток:,210.0,,"/images/items/151/00007294.jpg,/images/items/151/03824984.jpg,/images/items/151/03829813.jpg,/images/items/151/03855148.jpg,/images/items/151/03825161.jpg,/images/items/151/03829816.jpg,/images/items/151/03840057.jpg,/images/items/151/03824994.jpg,/images/items/151/03838882.jpg,/images/items/151/03850030.jpg,/images/items/151/03824989.jpg,/images/items/151/03844823.jpg,/images/items/151/03850579.jpg,/images/items/151/03844824.jpg,/images/items/151/03824988.jpg,/images/items/151/03824991.jpg,/images/items/151/03829823.jpg,/images/items/151/03825163.jpg,/images/items/151/03825164.jpg","Рекомендованный размер спиц: 2,0 - 2,5мм;  крючка: №1,9 - 2,5. Бережная ручная стирка, max 30°C.;Мягкая нить, средней скрутки, с умеренным блеском. Хорошо скользит при вязании, облегчая процесс. Подойдет для вязания летней одежды.","[['/images/items/151/yarn151big.jpg'], ['/images//items/151/yarn151.png']]","0101 белый,0102 молочный,0204 лимон,0301жёлток,0305 жёлтый,0510 шафран,0602 вереск,0710 оранж,0810 алый,0904 красный,0906 красный,1002 бледн.розовый,1110 мальва,1404 т.розовый,1614 терракот,2306 сирень,2714 василёк,3910 трава,4002 св.фисташка,4702 яркий лайм,4806 аспарагус,5704 какао,5810 коричневый,5904 св.беж,6404 молочн.шоколад,7002 стальной,7214 чёрный",10,10;10;10;10;10;10;10;10;10
